regulator	cluster	ntarget
SPRED1	E24	0
SPRED1	E17	0
SPRED1	E8	0
SPRED1	E16	0
SPRED1	E27	0
SPRED1	E21	0
SPRED1	E11	0
SPRED1	E10	0
SPRED1	E5	0
SPRED1	E14	27
SPRED1	E7	0
SPRED1	E9	0
SPRED1	E30	0
SPRED1	E2	0
SPRED1	E4	0
SPRED1	E3	0
SPRED1	E18	0
SPRED1	E6	0
SPRED1	E19	0
SPRED1	E29	0
SPRED1	E23	0
SPRED1	E20	0
SS18L1	E28	0
SS18L1	E15	0
SS18L1	E13	0
SS18L1	E1	0
SS18L1	E26	0
SS18L1	E25	0
SS18L1	E12	0
SS18L1	E22	0
SS18L1	E24	0
SS18L1	E17	0
SS18L1	E8	0
SS18L1	E16	0
SS18L1	E27	0
SS18L1	E21	0
SS18L1	E11	14
SS18L1	E10	0
SS18L1	E5	0
SS18L1	E14	0
SS18L1	E7	0
SS18L1	E9	0
SS18L1	E30	0
SS18L1	E2	0
SS18L1	E4	0
SS18L1	E3	0
SS18L1	E18	0
SS18L1	E6	0
SS18L1	E19	0
SS18L1	E29	0
SS18L1	E23	0
SS18L1	E20	0
THY1	E28	0
THY1	E15	0
THY1	E13	0
THY1	E1	0
THY1	E26	0
THY1	E25	0
THY1	E12	0
THY1	E22	0
THY1	E24	0
THY1	E17	0
THY1	E8	0
THY1	E16	0
THY1	E27	0
THY1	E21	0
THY1	E11	0
THY1	E10	0
THY1	E5	0
THY1	E14	0
THY1	E7	0
THY1	E9	0
THY1	E30	0
THY1	E2	0
THY1	E4	27
THY1	E3	0
THY1	E18	0
THY1	E6	0
THY1	E19	0
THY1	E29	0
THY1	E23	0
THY1	E20	0
TYRO3	E28	0
TYRO3	E15	0
TYRO3	E13	0
TYRO3	E1	0
TYRO3	E26	0
TYRO3	E25	0
TYRO3	E12	0
TYRO3	E22	0
TYRO3	E24	0
TYRO3	E17	0
TYRO3	E8	0
TYRO3	E16	0
TYRO3	E27	0
TYRO3	E21	0
TYRO3	E11	0
TYRO3	E10	0
TYRO3	E5	0
TYRO3	E14	20
TYRO3	E7	0
TYRO3	E9	0
TYRO3	E30	0
TYRO3	E2	0
TYRO3	E4	0
TYRO3	E3	0
TYRO3	E18	0
TYRO3	E6	0
TYRO3	E19	0
TYRO3	E29	0
TYRO3	E23	0
TYRO3	E20	0
ZBTB39	E28	0
ZBTB39	E15	0
ZBTB39	E13	0
ZBTB39	E1	0
ZBTB39	E26	0
ZBTB39	E25	0
ZBTB39	E12	0
ZBTB39	E22	0
ZBTB39	E24	0
ZBTB39	E17	0
ZBTB39	E8	0
ZBTB39	E16	0
ZBTB39	E27	0
ZBTB39	E21	0
